Castlevania Dracula X MSU-1,Castlevania Dracula X MSU-1/,Castlevania Dracula X MSU-1
Final Fight MSU-1,Final Fight MSU-1/,Final Fight MSU-1
Mega Man 7 MSU-1,Mega Man 7 MSU-1/,Mega Man 7 MSU-1
R-Type III MSU-1,R-Type III MSU-1/,R-Type III MSU-1
Super Mario All-Stars MSU-1,Super Mario All-Stars MSU-1/,Super Mario All-Stars MSU-1
Super Metroid MSU-1,Super Metroid MSU-1/,Super Metroid MSU-1
TMNT IV MSU-1,TMNT IV MSU-1/,TMNT IV MSU-1
Terranigma Arranged MSU-1,Terranigma Arranged MSU-1/,Terranigma Arranged MSU-1
Wild Guns MSU-1,Wild Guns MSU-1/,Wild Guns MSU-1
Zelda ALTTP MSU-1,Zelda ALTTP MSU-1/,Zelda ALTTP MSU-1
超级马里奥1-3,超级马里奥1-3.sfc,chao ji ma li ao 1-3.sfc
超级银河战士,超级银河战士.sfc,chao ji yin he zhan shi.sfc
恶魔城XX,恶魔城XX.sfc,e mo cheng XX.sfc
荒野双枪,荒野双枪.sfc,huang ye shuang qiang.sfc
快打旋风1,快打旋风1.sfc,kuai da xuan feng 1.sfc
洛克人7,洛克人7.sfc,luo ke ren 7.sfc
忍者神龟4,忍者神龟4.sfc,ren zhe shen gui 4.sfc
塞尔达传说,塞尔达传说.sfc,sai er da chuan shuo.sfc
天地创造,天地创造.sfc,tian di chuang zao.sfc
异形战机3,异形战机3.sfc,yi xing zhan ji 3.sfc
