编号,游戏名称,中文名,中文名_clean,GBA.ZH
GBA#1,007 - Everything or Nothing (Japan),詹姆斯邦德007-谁与争锋007 （日版）,詹姆斯邦德007-谁与争锋007,007 谁与争锋.gba
GBA#2,"007 - Everything or Nothing (USA, Europe) (En,Fr,De)","詹姆斯邦德007-谁与争锋007 （美版 欧版） (En,Fr,De)",詹姆斯邦德007-谁与争锋007,
GBA#3,"007 - NightFire (USA, Europe) (En,Fr,De)","占士邦007-夜火 （美版 欧版） (En,Fr,De)",占士邦007-夜火,007 夜火.gba
GBA#4,"2 Disney Games - Disney Sports - Football + Disney Sports - Skateboarding (Europe) (En,Fr,De,Es,It)","2合1-迪斯尼全明星体育系列-足球+滑板 （欧版） (En,Fr,De,Es,It)",2合1-迪斯尼全明星体育系列-足球+滑板,
GBA#5,"2 Disney Games - Lilo & Stitch 2 + Peter Pan - Return to Neverland (Europe) (En,Fr,De,Es+En,Fr,De,Es,It,Nl)","游戏2合1-小飞侠和星际宝贝2 （欧版） (En,Fr,De,Es+En,Fr,De,Es,It,Nl)",游戏2合1-小飞侠和星际宝贝2,
GBA#6,"2 Game Pack! - Hot Wheels - Stunt Track Challenge + Hot Wheels - World Race (USA, Europe)",游戏2合1-无敌风火轮赛车-疾速赛车X+世界赛车 （美版 欧版）,游戏2合1-无敌风火轮赛车-疾速赛车X+世界赛车,
GBA#7,"2 Game Pack! - Matchbox Missions - Emergency Response & Air, Land and Sea Rescue (Europe) (En,Fr,De,Es,It)","火柴盒任务2合1 （欧版） (En,Fr,De,Es,It)",火柴盒任务2合1,
GBA#8,"2 Game Pack! - Matchbox Missions - Emergency Response + Air, Land and Sea Rescue (USA)",2合1-Matchbox任务 （美版）,2合1-Matchbox任务,
GBA#9,"2 Game Pack! - Uno & Skip-Bo (Europe) (En,Fr,De,Es,It)","纸牌游戏合集包 （欧版） (En,Fr,De,Es,It)",纸牌游戏合集包,
GBA#10,2 Game Pack! - Uno + Skip-Bo (USA),2合1-UNO-纸牌 （美版）,2合1-UNO-纸牌,
GBA#11,"2 Games in 1 - Alla Ricerca di Nemo + Gli Incredibili - Una 'Normale' Famiglia di Supereroi (Italy) (Es,It+It)","游戏2合1-海底总动员1+超人特攻队 （意大利版） (Es,It+It)",游戏2合1-海底总动员1+超人特攻队,
GBA#12,"2 Games in 1 - Bionicle + Knights' Kingdom (Europe) (En,Fr,De,Da+En,De)","游戏2合1-乐高生化战士和乐高骑士王国 （欧版） (En,Fr,De,Da+En,De)",游戏2合1-乐高生化战士和乐高骑士王国,
GBA#13,"2 Games in 1 - Brother Bear + The Lion King (Europe) (En,Fr,De,Es,It,Nl,Sv,Da)","游戏2合1-迪斯尼青年装 （欧版） (En,Fr,De,Es,It,Nl,Sv,Da)",游戏2合1-迪斯尼青年装,
GBA#14,"2 Games in 1 - Buscando a Nemo + Los Increibles (Spain) (Es,It+Es)","游戏2合1-海底总动员合集 （西班牙版） (Es,It+Es)",游戏2合1-海底总动员合集,
GBA#15,2 Games in 1 - Cartoon Network Block Party + Cartoon Network Speedway (USA),游戏2合1-卡通网络包 （美版）,游戏2合1-卡通网络包,
GBA#16,"2 Games in 1 - Columns Crown + ChuChu Rocket! (Europe) (En+En,Ja,Fr,De,Es)","游戏2合1-世嘉包 （欧版） (En+En,Ja,Fr,De,Es)",游戏2合1-世嘉包,
GBA#17,2 Games in 1 - Die Monster AG + Findet Nemo (Germany),游戏2合1-海底总动员和怪兽公司 （德国版）,游戏2合1-海底总动员和怪兽公司,
GBA#18,"2 Games in 1 - Disney Princesas + El Rey Leon (Spain) (Es+En,Fr,De,Es,It,Nl,Sv,Da)","游戏2合1-迪斯尼女孩装 （西班牙版） (Es+En,Fr,De,Es,It,Nl,Sv,Da)",游戏2合1-迪斯尼女孩装,
GBA#19,"2 Games in 1 - Disney Princesas + Hermano Oso (Spain) (Es+En,Fr,De,Es,It,Nl,Sv,Da)","游戏2合1-熊兄弟+迪斯尼公主 （西班牙版） (Es+En,Fr,De,Es,It,Nl,Sv,Da)",游戏2合1-熊兄弟+迪斯尼公主,
GBA#20,2 Games in 1 - Disney Princesas + Lizzie McGuire (Spain),游戏2合1-迪斯尼公主和平民天后 （西班牙版）,游戏2合1-迪斯尼公主和平民天后,
GBA#21,"2 Games in 1 - Disney Princess + Brother Bear (Europe) (En+En,Fr,De,Es,It,Nl,Sv,Da)","游戏2合1-迪斯尼白雪公主们和迪斯尼小熊的兄弟们 （欧版） (En+En,Fr,De,Es,It,Nl,Sv,Da)",游戏2合1-迪斯尼白雪公主们和迪斯尼小熊的兄弟们,
GBA#22,2 Games in 1 - Disney Princess + Lizzie McGuire (Europe),游戏2合1-迪斯尼公主和平民天后 （欧版）,游戏2合1-迪斯尼公主和平民天后,
GBA#23,"2 Games in 1 - Disney Princesse + Frere des Ours (France) (Fr+En,Fr,De,Es,It,Nl,Sv,Da)","游戏2合1-熊兄弟+迪斯尼公主 （法国版） (Fr+En,Fr,De,Es,It,Nl,Sv,Da)",游戏2合1-熊兄弟+迪斯尼公主,
GBA#24,"2 Games in 1 - Disney Princesse + Le Roi Lion (France) (Fr+En,Fr,De,Es,It,Nl,Sv,Da)","游戏2合1-迪斯尼游戏集 （法国版） (Fr+En,Fr,De,Es,It,Nl,Sv,Da)",游戏2合1-迪斯尼游戏集,
GBA#25,"2 Games in 1 - Disney Principesse + Il Re Leone (Italy) (It+En,Fr,De,Es,It,Nl,Sv,Da)","游戏2合1-游戏王-命运之旅+怪兽龙门骰 （意大利版） (It+En,Fr,De,Es,It,Nl,Sv,Da)",游戏2合1-游戏王-命运之旅+怪兽龙门骰,
GBA#26,"2 Games in 1 - Disney Principesse + Koda, Fratello Orso (Italy) (It+En,Fr,De,Es,It,Nl,Sv,Da)","游戏2合1-迪斯尼公主+熊兄弟 （意大利版） (It+En,Fr,De,Es,It,Nl,Sv,Da)",游戏2合1-迪斯尼公主+熊兄弟,
GBA#27,"2 Games in 1 - Disneys Prinzessinnen + Baerenbrueder (Germany) (De+En,Fr,De,Es,It,Nl,Sv,Da)","游戏2合1-熊兄弟+迪斯尼公主 （德国版） (De+En,Fr,De,Es,It,Nl,Sv,Da)",游戏2合1-熊兄弟+迪斯尼公主,
GBA#28,"2 Games in 1 - Disneys Prinzessinnen + Der Koenig der Loewen (Germany) (De+En,Fr,De,Es,It,Nl,Sv,Da)","游戏2合1-迪斯尼游戏集 （德国版） (De+En,Fr,De,Es,It,Nl,Sv,Da)",游戏2合1-迪斯尼游戏集,
GBA#29,"2 Games in 1 - Dr. Mario + Puzzle League (Europe) (En,Fr,De,Es,It)","新游戏2合1-马里奥医生与花仙子方块 （欧版） (En,Fr,De,Es,It)",新游戏2合1-马里奥医生与花仙子方块,
GBA#30,2 Games in 1 - Dragon Ball Z - The Legacy of Goku I & II (USA),游戏2合1-龙珠2合1游戏合集 （美版）,游戏2合1-龙珠2合1游戏合集,
GBA#31,2 Games in 1 - Findet Nemo + Die Unglaublichen (Germany),2合1-海底总动员+超人特攻队 （德国版）,2合1-海底总动员+超人特攻队,
GBA#32,"2 Games in 1 - Findet Nemo + Findet Nemo - Das Abenteuer Geht Weiter (Germany) (De+Fr,De,Nl)","海底总动员2合1 （德国版） (De+Fr,De,Nl)",海底总动员2合1,
GBA#33,"2 Games in 1 - Finding Nemo + Finding Nemo - The Continuing Adventures (Europe) (En+En,Es,It,Sv,Da)","游戏2合1-海底总动员合集 （欧版） (En+En,Es,It,Sv,Da)",游戏2合1-海底总动员合集,
GBA#34,"2 Games in 1 - Finding Nemo + Finding Nemo - The Continuing Adventures (Europe) (Es,It+En,Es,It,Sv,Da)","游戏2合1-海底总动员合集 （欧版） (Es,It+En,Es,It,Sv,Da)",游戏2合1-海底总动员合集,
GBA#35,"2 Games in 1 - Finding Nemo + Finding Nemo - The Continuing Adventures (Europe) (Fr,Nl+Fr,De,Nl)","游戏2合1-海底总动员合集 （欧版） (Fr,Nl+Fr,De,Nl)",游戏2合1-海底总动员合集,
GBA#36,2 Games in 1 - Finding Nemo + The Incredibles (Europe),游戏2合1-海底总动员1+超人特攻队 （欧版）,游戏2合1-海底总动员1+超人特攻队,
